Viajeros y tasas;TIPO DE TRANSPORTE;Ciudad;Periodo;Total
Viajeros transportados;Urbano por metro;28079 Madrid;2018M06;55.653
Viajeros transportados;Urbano por metro;28079 Madrid;2018M05;58.296
Viajeros transportados;Urbano por metro;28079 Madrid;2018M04;58.359
Viajeros transportados;Urbano por metro;28079 Madrid;2018M03;56.565
Viajeros transportados;Urbano por metro;28079 Madrid;2018M02;55.436
Viajeros transportados;Urbano por metro;28079 Madrid;2018M01;56.111
Viajeros transportados;Urbano por metro;28079 Madrid;2017M12;53.740
Viajeros transportados;Urbano por metro;28079 Madrid;2017M11;57.721
Viajeros transportados;Urbano por metro;28079 Madrid;2017M10;59.151
Viajeros transportados;Urbano por metro;28079 Madrid;2017M09;52.442
Viajeros transportados;Urbano por metro;28079 Madrid;2017M08;35.146
Viajeros transportados;Urbano por metro;28079 Madrid;2017M07;46.000
Viajeros transportados;Urbano por metro;28079 Madrid;2017M06;54.633
Viajeros transportados;Urbano por metro;28079 Madrid;2017M05;55.550
Viajeros transportados;Urbano por metro;28079 Madrid;2017M04;49.919
Viajeros transportados;Urbano por metro;28079 Madrid;2017M03;57.514
Viajeros transportados;Urbano por metro;28079 Madrid;2017M02;52.219
Viajeros transportados;Urbano por metro;28079 Madrid;2017M01;52.370
Viajeros transportados;Urbano por metro;28079 Madrid;2016M12;52.897
Viajeros transportados;Urbano por metro;28079 Madrid;2016M11;53.663
Viajeros transportados;Urbano por metro;28079 Madrid;2016M10;53.047
Viajeros transportados;Urbano por metro;28079 Madrid;2016M09;48.347
Viajeros transportados;Urbano por metro;28079 Madrid;2016M08;31.451
Viajeros transportados;Urbano por metro;28079 Madrid;2016M07;40.618
Viajeros transportados;Urbano por metro;28079 Madrid;2016M06;49.535
Viajeros transportados;Urbano por metro;28079 Madrid;2016M05;52.376
Viajeros transportados;Urbano por metro;28079 Madrid;2016M04;53.165
Viajeros transportados;Urbano por metro;28079 Madrid;2016M03;49.963
Viajeros transportados;Urbano por metro;28079 Madrid;2016M02;51.440
Viajeros transportados;Urbano por metro;28079 Madrid;2016M01;48.254
